ALIGNMNT,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,C_M_ZONE,DAY,DAY_WEEK,DRUNK_DR,FATALS,FUNC_SYS,HARM_EV,HIT_RUN,HOSP_HR,HOSP_MN,HOUR,LATITUDE,LGT_COND,LONGITUD,MAN_COLL,MILEPT,MINUTE,MONTH,NHS,NOT_HOUR,NOT_MIN,NO_LANES,PAVE_TYP,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PROFILE,PVH_INVL,RAIL,RD_OWNER,RELJCT1,RELJCT2,REL_JUNC,REL_ROAD,ROAD_FNC,ROUTE,RUR_URB,SCH_BUS,SP_JUR,SP_LIMIT,STATE,ST_CASE,SUR_COND,TRAF_FLO,TRA_CONT,TWAY_ID,TWAY_ID2,TYP_INT,T_CONT_F,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER2,WRK_ZONE,YEAR,latitude,longitud
,2,58,0,0,0,0,127,,1,5,1,1,3.0,35,,88,88,2,33.87865278,2,-87.3253,0,1754.0,40,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,3,1.0,0,0,,1,10001,,,,SR-5,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,22,20,0,0,0,0,83,,1,5,0,1,1.0,34,,88,88,22,34.91044167,2,-86.9087,0,3604.0,13,1,1,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,3,,1,1.0,0,0,,1,10002,,,,I-65,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,1,45,0,0,0,0,11,,1,5,1,1,3.0,42,,99,99,1,32.14200556,2,-85.7585,0,1958.0,25,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,4,,2,1.0,0,0,,1,10003,,,,US-SR 6,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,1,15,0,0,0,0,45,,4,1,1,1,4.0,53,,88,88,0,31.43981389,2,-85.5103,0,566.0,57,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,3,1.0,0,0,,1,10004,,,,SR-27,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,7,16,0,0,0,2050,45,,7,4,0,1,3.0,12,,88,88,7,31.31933056,1,-85.5151,6,308.0,9,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,2.0,,1,,2,2.0,0,0,,1,10005,,,,US-SR 53,HINTON WATERS AVE,3.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,10,17,0,0,0,0,111,,8,5,0,1,5.0,1,,99,99,9,33.43849444,1,-85.3893,0,0.0,59,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,2.0,0.0,1.0,,4,,4,1.0,0,0,,1,10006,,,,CR-82,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,18,38,0,0,0,1730,89,,8,5,0,1,3.0,43,,99,99,18,34.77304444,3,-86.5277,0,1030.0,33,1,1,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,4,,2,2.0,0,0,,1,10007,,,,US-SR 2,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,21,48,0,0,0,350,73,,3,7,0,1,5.0,8,,99,99,21,33.46248889,2,-86.8709,0,0.0,30,1,0,99,99,,,1,1.0,1.0,1,,0.0,0000000,4.0,0.0,1.0,,1,,6,2.0,0,0,,1,10008,,,,ISHKOODA RD SW,,1.0,,1,1.0,2,2.0,0.0,0.0,2015,,
,8,3,0,0,0,47,117,,13,3,0,1,3.0,23,,88,88,8,33.2361,1,-86.8139,0,2520.0,0,1,1,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,2,2.0,0,0,,1,10009,,,,US-SR 3,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,19,1,0,0,0,0,33,,5,2,0,1,4.0,12,,99,99,18,34.75836667,2,-87.6075,2,34.0,45,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,1,,3,1.0,0,0,,1,10010,,,,SR-184,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,21,20,0,0,0,0,83,,7,4,0,1,3.0,12,,88,88,20,34.76602778,2,-86.8792,7,809.0,55,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,1,,3,2.0,0,0,,1,10011,,,,SR-2,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,6,41,0,0,0,1500,95,,9,6,0,1,3.0,12,,99,99,6,34.36911667,1,-86.2889,6,2944.0,35,1,0,99,99,,,0,6.0,0.0,6,,0.0,0000000,1.0,0.0,1.0,,1,,2,2.0,0,0,,1,10012,,,,US-SR 1,,1.0,,3,3.0,1,1.0,0.0,0.0,2015,,
,88,88,0,0,0,0,87,,10,7,1,1,5.0,1,,88,88,10,32.55177222,1,-85.7446,0,0.0,55,1,0,88,88,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,1,,4,1.0,0,0,,1,10013,,,,CR-54,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,6,29,0,0,0,0,11,,11,1,1,1,4.0,1,,88,88,6,32.16270833,1,-85.714,0,1454.0,13,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,2,1.0,0,0,,1,10014,,,,US-SR 15,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,8,55,0,0,0,0,127,,11,1,0,1,3.0,1,,88,88,8,33.96415,1,-87.6057,0,0.0,30,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,4,,4,1.0,0,0,,1,10015,,,,CR-BYLER RD,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,17,30,0,0,0,2340,81,,13,3,0,1,4.0,12,,99,99,17,32.61823889,3,-85.3714,6,0.0,20,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,8.0,,1,,3,2.0,0,0,,1,10016,,,,SR-51,,1.0,,2,2.0,10,10.0,0.0,0.0,2015,,
